GIDTR,State,State_name,County,County_name,Tract,Tot_Housing_Units_CEN_2010,Tot_Housing_Units_ACS_12_16,Tot_Housing_Units_ACSMOE_12_16,Tot_Occp_Units_CEN_2010,Tot_Occp_Units_ACS_12_16,Tot_Occp_Units_ACSMOE_12_16,Tot_Vacant_Units_CEN_2010,Tot_Vacant_Units_ACS_12_16,Tot_Vacant_Units_ACSMOE_12_16,Renter_Occp_HU_CEN_2010,Renter_Occp_HU_ACS_12_16,Renter_Occp_HU_ACSMOE_12_16,Owner_Occp_HU_CEN_2010,Owner_Occp_HU_ACS_12_16,Owner_Occp_HU_ACSMOE_12_16,Single_Unit_ACS_12_16,Single_Unit_ACSMOE_12_16,MLT_U2_9_STRC_ACS_12_16,MLT_U2_9_STRC_ACSMOE_12_16,MLT_U10p_ACS_12_16,MLT_U10p_ACSMOE_12_16,Mobile_Homes_ACS_12_16,Mobile_Homes_ACSMOE_12_16,Crowd_Occp_U_ACS_12_16,Crowd_Occp_U_ACSMOE_12_16,Occp_U_NO_PH_SRVC_ACS_12_16,Occp_U_NO_PH_SRVC_ACSMOE_12_16,No_Plumb_ACS_12_16,No_Plumb_ACSMOE_12_16,Recent_Built_HU_ACS_12_16,Recent_Built_HU_ACSMOE_12_16,Med_House_Value_ACS_12_16,Med_House_Value_ACSMOE_12_16,Aggr_House_Value_ACS_12_16,Aggr_House_Value_ACSMOE_12_16
09013526101,09,Connecticut,013,Tolland County,526101,1766,1740,80,1643,1555,94,123,185,102,171,138,79,1472,1417,111,1623,105,105,57,12,22,0,12,0,12,11,21,33,54,10,17,323300,17652,457767500,44727509
09013526102,09,Connecticut,013,Tolland County,526102,1801,1835,87,1755,1780,88,46,55,47,153,115,67,1602,1665,105,1737,123,98,62,0,17,0,17,14,24,0,17,0,17,38,58,280800,20004,529898300,96537363
09013528100,09,Connecticut,013,Tolland County,528100,1317,1279,87,1244,1195,75,73,84,64,140,88,34,1104,1107,68,1205,86,67,35,7,17,0,12,7,16,14,22,9,14,0,12,281700,15616,354948600,55786946
09013529100,09,Connecticut,013,Tolland County,529100,2015,2118,114,1915,1980,106,100,138,81,254,219,71,1661,1761,108,1951,120,134,68,33,39,0,12,9,19,23,26,0,12,0,12,292900,17195,601240700,63332170
09013530100,09,Connecticut,013,Tolland County,530100,1034,1031,54,961,934,69,73,97,58,402,442,89,559,492,93,566,78,388,89,77,60,0,12,39,33,23,23,0,12,7,11,176400,12607,98381000,21789245
09013530200,09,Connecticut,013,Tolland County,530200,2972,3022,150,2647,2584,241,325,438,191,1726,1640,275,921,944,130,1100,181,1316,275,606,176,0,17,14,29,57,52,90,97,0,17,179700,12454,197446000,50688482
09013530301,09,Connecticut,013,Tolland County,530301,2866,2999,117,2701,2707,177,165,292,151,1241,1547,213,1460,1160,171,1187,192,995,241,817,237,0,17,40,59,44,45,0,17,0,17,164100,7166,227827500,80431012
09013530302,09,Connecticut,013,Tolland County,530302,2872,2965,119,2703,2898,127,169,67,83,951,1220,178,1752,1678,183,1633,163,748,189,411,157,173,95,15,31,44,41,13,22,0,17,227600,11530,381845100,58170560
09013530400,09,Connecticut,013,Tolland County,530400,1716,1750,94,1620,1742,96,96,8,12,937,1045,140,683,697,120,581,109,593,140,462,117,114,48,0,12,18,23,0,12,0,12,188900,38015,115635000,20736458
09013530500,09,Connecticut,013,Tolland County,530500,1334,1300,48,1290,1231,74,44,69,67,158,143,66,1132,1088,87,1142,92,89,69,69,38,0,12,0,12,20,24,0,12,0,12,227000,9928,261617000,30844369
09013530600,09,Connecticut,013,Tolland County,530600,1102,1103,42,1054,1038,56,48,65,38,29,0,12,1025,1038,56,1095,59,0,12,0,12,8,12,0,12,27,26,9,13,0,12,266700,21281,349643100,62359941
09013533101,09,Connecticut,013,Tolland County,533101,3309,3297,116,3219,3208,125,90,89,79,242,191,95,2977,3017,155,3125,143,128,86,44,42,0,17,0,17,59,55,0,17,0,17,289300,20179,887996700,87562686
09013533102,09,Connecticut,013,Tolland County,533102,2142,2175,77,2093,1978,110,49,197,99,137,65,54,1956,1913,107,2128,98,32,42,15,29,0,17,0,17,0,17,0,17,0,17,256500,22181,527093800,37331765
09013535100,09,Connecticut,013,Tolland County,535100,4132,4273,189,3880,4192,202,252,81,103,1353,1818,277,2527,2374,283,2321,284,1285,339,667,252,0,17,42,61,0,17,0,17,43,50,282200,25730,667597500,86833591
09013535200,09,Connecticut,013,Tolland County,535200,2533,2574,117,2377,2525,115,156,49,52,445,491,140,1932,2034,185,2155,197,384,161,35,47,0,17,26,43,18,34,0,17,0,17,242100,16978,530719800,57887506
09013538100,09,Connecticut,013,Tolland County,538100,0,0,12,0,0,12,0,0,12,0,0,12,0,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,,,
09013538201,09,Connecticut,013,Tolland County,538201,1937,2019,105,1858,1849,102,79,170,95,257,292,99,1601,1557,126,1777,118,232,105,10,22,0,17,19,25,16,25,28,45,0,17,290900,13501,481613300,45745796
09013538202,09,Connecticut,013,Tolland County,538202,1542,1612,89,1470,1573,91,72,39,46,151,265,78,1319,1308,105,1505,102,36,36,71,43,0,12,10,19,35,46,0,12,0,12,325000,17389,414809600,33989576
09013840100,09,Connecticut,013,Tolland County,840100,2637,2563,207,2423,2430,159,214,133,101,749,853,185,1674,1577,220,1731,234,357,175,447,159,28,38,33,44,53,48,0,17,0,17,228800,12818,379235900,63752155
09013850100,09,Connecticut,013,Tolland County,850100,2135,2141,87,2071,1930,121,64,211,107,143,63,52,1928,1867,117,2023,126,118,84,0,17,0,17,15,29,13,26,0,17,0,17,252300,16477,516164000,71468284
09013850200,09,Connecticut,013,Tolland County,850200,2964,2941,151,2712,2777,155,252,164,144,454,389,120,2258,2388,178,2761,176,94,62,86,60,0,17,26,39,10,23,41,66,35,41,252800,21963,624530300,67047729
09013860100,09,Connecticut,013,Tolland County,860100,2308,2199,155,2154,2043,115,154,156,104,224,316,116,1930,1727,176,1978,174,208,97,0,17,0,17,89,88,62,43,107,86,30,48,242300,12854,477527000,63136396
09013881100,09,Connecticut,013,Tolland County,881100,1715,1785,170,1632,1621,169,83,164,87,335,387,131,1297,1234,138,1486,151,142,71,140,114,17,11,42,50,12,19,23,31,0,12,259300,17872,355203800,47370260
09013881200,09,Connecticut,013,Tolland County,881200,125,139,42,118,117,43,7,22,20,95,104,43,23,13,9,28,22,46,36,65,41,0,19,0,19,6,21,0,19,0,19,229200,85595,2601900,2141448
09013881300,09,Connecticut,013,Tolland County,881300,1800,1771,172,1642,1611,185,158,160,95,808,877,164,834,734,104,687,107,824,200,88,56,172,50,27,34,30,37,0,17,0,17,208800,19267,141173100,21519022
09013881500,09,Connecticut,013,Tolland County,881500,2377,2383,220,2194,2150,238,183,233,110,774,843,173,1420,1307,159,1595,181,553,163,215,91,20,32,14,23,16,25,0,17,0,17,224000,19833,313770200,45837132
09013890100,09,Connecticut,013,Tolland County,890100,1830,1865,80,1666,1601,118,164,264,102,731,861,152,935,740,117,960,150,818,171,80,52,7,12,17,25,25,25,25,40,0,12,140100,12176,103836500,17876043
09013890201,09,Connecticut,013,Tolland County,890201,1645,1654,62,1488,1378,93,157,276,82,212,161,67,1276,1217,93,1477,85,120,70,24,39,33,33,11,18,16,21,54,45,7,9,241100,18751,317693400,32993454
09013890202,09,Connecticut,013,Tolland County,890202,2037,2041,102,1947,1946,105,90,95,68,199,321,82,1748,1625,125,1808,119,175,98,0,17,58,42,14,23,17,25,35,27,0,17,216600,23217,354909300,37243674
09015800300,09,Connecticut,015,Windham County,800300,1578,1651,124,1493,1622,126,85,29,48,902,1159,143,591,463,89,755,156,632,187,264,96,0,17,22,38,67,47,11,17,0,17,152900,16504,70254000,15568596
09015800400,09,Connecticut,015,Windham County,800400,1689,1711,97,1575,1538,131,114,173,96,656,689,114,919,849,112,985,118,692,152,26,23,8,14,54,57,0,12,36,46,0,12,133500,7194,113531400,16673976
09015800500,09,Connecticut,015,Windham County,800500,3026,2943,191,2867,2843,201,159,100,97,829,852,191,2038,1991,252,1943,250,523,200,131,72,346,118,4,23,32,34,0,17,0,17,182700,8719,360673400,51415211
09015800600,09,Connecticut,015,Windham County,800600,1701,1740,124,1512,1379,127,189,361,115,1327,1137,129,185,242,89,282,103,1348,200,110,60,0,12,99,64,34,36,18,29,0,12,97000,9989,27046000,10155591
09015800700,09,Connecticut,015,Windham County,800700,1576,1536,103,1459,1358,121,117,178,89,859,798,134,600,560,105,591,100,780,166,165,75,0,12,43,47,4,14,18,29,0,12,151200,18439,85914300,18600031
09015815000,09,Connecticut,015,Windham County,815000,988,961,50,920,858,56,68,103,43,178,106,37,742,752,58,841,72,86,42,0,12,34,21,6,14,21,15,6,10,0,12,200500,12854,157047300,16263866
09015820000,09,Connecticut,015,Windham County,820000,793,765,43,747,720,48,46,45,26,97,138,38,650,582,54,713,52,31,25,5,14,16,10,6,13,9,14,0,12,0,12,224500,10580,135247800,13214662
09015825000,09,Connecticut,015,Windham County,825000,680,664,35,637,585,44,43,79,44,73,49,33,564,536,52,612,39,43,31,0,12,9,7,3,13,3,13,5,9,0,12,240600,21889,128906200,14605277
09015830100,09,Connecticut,015,Windham County,830100,1903,1859,115,1716,1659,105,187,200,82,379,315,78,1337,1344,108,1561,126,153,73,136,53,9,14,25,27,13,16,57,50,0,12,237600,15394,333972400,31440926
09015900100,09,Connecticut,015,Windham County,900100,2016,2050,101,1761,1743,107,255,307,91,228,170,80,1533,1573,138,1995,116,48,49,7,17,0,12,10,20,35,30,62,45,0,12,230300,17062,447076700,95406129
09015900200,09,Connecticut,015,Windham County,900200,2155,2120,119,1969,1958,125,186,162,76,539,647,128,1430,1311,173,1324,166,630,159,64,30,102,42,30,51,18,22,51,58,0,12,171700,12032,235752100,35039165
09015901100,09,Connecticut,015,Windham County,901100,3582,3825,173,3151,3144,169,431,681,190,473,393,186,2678,2751,177,3479,212,252,138,37,46,57,92,0,17,0,17,48,75,0,17,246600,15077,706092700,55694017
09015902200,09,Connecticut,015,Windham County,902200,793,788,43,690,667,47,103,121,39,118,111,38,572,556,51,695,56,34,21,8,17,51,30,10,15,10,14,38,28,0,12,244800,16950,136319500,13937213
09015902500,09,Connecticut,015,Windham County,902500,1684,1727,125,1582,1625,122,102,102,69,397,357,107,1185,1268,109,1338,126,131,72,200,104,58,55,0,12,9,20,25,40,0,12,273900,16452,376554200,42383820
09015903100,09,Connecticut,015,Windham County,903100,3333,3293,239,3041,2961,201,292,332,168,1562,1479,204,1479,1482,175,1404,198,1702,316,176,88,11,18,80,95,27,31,79,89,0,17,165700,8193,241849000,31792909
09015903200,09,Connecticut,015,Windham County,903200,966,998,71,909,904,77,57,94,52,96,67,34,813,837,75,925,69,73,42,0,12,0,12,3,13,16,18,0,12,0,12,239100,12117,221234000,25810044
09015904100,09,Connecticut,015,Windham County,904100,3005,3079,203,2801,2826,210,204,253,144,472,614,185,2329,2212,233,2280,237,268,139,249,121,282,159,138,85,79,67,144,125,0,17,216800,16611,537264100,88525910
09015904400,09,Connecticut,015,Windham County,904400,2050,2064,122,1722,1712,135,328,352,110,704,558,112,1018,1154,146,1413,166,460,133,123,44,68,57,28,36,39,43,147,72,0,12,183200,13831,217546100,29534223
09015904500,09,Connecticut,015,Windham County,904500,2537,2681,217,2226,2436,194,311,245,154,927,981,172,1299,1455,220,1655,209,956,291,70,75,0,17,53,78,55,55,0,17,0,17,165800,10752,247284600,39797138
09015905100,09,Connecticut,015,Windham County,905100,3235,3141,234,2989,2955,230,246,186,131,755,706,194,2234,2249,238,2536,306,393,137,173,96,39,46,0,17,63,51,77,88,0,17,224200,9843,508852500,53097088
09015906100,09,Connecticut,015,Windham County,906100,2043,1962,104,1934,1829,91,109,133,76,267,209,72,1667,1620,94,1830,106,84,47,31,27,17,18,17,25,0,17,39,45,0,17,224000,17458,398022400,39991431
09015907100,09,Connecticut,015,Windham County,907100,1782,1869,96,1662,1634,119,120,235,112,439,344,104,1223,1290,127,1442,144,326,116,60,31,41,29,38,39,0,12,83,68,0,12,167200,6772,234588200,27671335
09015907200,09,Connecticut,015,Windham County,907200,2262,2270,122,2058,2089,149,204,181,114,693,746,168,1365,1343,144,1601,175,533,180,136,104,0,17,39,50,108,83,80,87,0,17,172400,13741,256598900,41273141
09015907300,09,Connecticut,015,Windham County,907300,2185,2169,110,2006,1922,154,179,247,133,533,515,180,1473,1407,160,1613,188,305,125,99,58,152,106,13,24,23,28,106,72,12,19,169900,11182,235022700,29595220
09015908100,09,Connecticut,015,Windham County,908100,1511,1299,109,1383,1294,107,128,5,10,232,181,90,1151,1113,129,1187,124,41,37,0,12,71,45,52,54,0,12,5,10,0,12,196600,15193,228280500,34413278
